chain,text,generation,lex_rich:ttr,lex_rich:rttr,lex_rich:cttr,lex_rich:herdan,lex_rich:summer,lex_rich:dugast,lex_rich:maas,lex_rich:yulek,lex_rich:yulei,lex_rich:herdanvm,lex_rich:simpsond,lex_rich:msttr,lex_rich:mattr,lex_rich:mtld,lex_rich:hdd,lex_rich:vocd,text_desc:token_length_mean,text_desc:token_length_median,text_desc:token_length_std,text_desc:sentence_length_mean,text_desc:sentence_length_median,text_desc:sentence_length_std,text_desc:syllables_per_token_mean,text_desc:syllables_per_token_median,text_desc:syllables_per_token_std,text_desc:n_tokens,text_desc:n_unique_tokens,text_desc:proportion_unique_tokens,text_desc:n_characters,text_desc:n_sentences,text_desc:flesch_reading_ease,text_desc:flesch_kincaid_grade,text_desc:smog,text_desc:gunning_fog,text_desc:automated_readability_index,text_desc:coleman_liau_index,text_desc:lix,text_desc:rix,text_desc:first_order_coherence,text_desc:second_order_coherence,text_desc:pos_prop_ADJ,text_desc:pos_prop_ADP,text_desc:pos_prop_ADV,text_desc:pos_prop_AUX,text_desc:pos_prop_CCONJ,text_desc:pos_prop_DET,text_desc:pos_prop_INTJ,text_desc:pos_prop_NOUN,text_desc:pos_prop_NUM,text_desc:pos_prop_PART,text_desc:pos_prop_PRON,text_desc:pos_prop_PROPN,text_desc:pos_prop_PUNCT,text_desc:pos_prop_SCONJ,text_desc:pos_prop_SYM,text_desc:pos_prop_VERB,text_desc:pos_prop_X,text_desc:passed_quality_check,text_desc:n_stop_words,text_desc:alpha_ratio,text_desc:mean_word_length,text_desc:doc_length,text_desc:symbol_to_word_ratio_#,text_desc:proportion_ellipsis,text_desc:proportion_bullet_points,text_desc:contains_lorem ipsum,text_desc:duplicate_line_chr_fraction,text_desc:duplicate_paragraph_chr_fraction,text_desc:duplicate_ngram_chr_fraction_5,text_desc:duplicate_ngram_chr_fraction_6,text_desc:duplicate_ngram_chr_fraction_7,text_desc:duplicate_ngram_chr_fraction_8,text_desc:duplicate_ngram_chr_fraction_9,text_desc:duplicate_ngram_chr_fraction_10,text_desc:top_ngram_chr_fraction_2,text_desc:top_ngram_chr_fraction_3,text_desc:top_ngram_chr_fraction_4,text_desc:oov_ratio,text_desc:dependency_distance_mean,text_desc:dependency_distance_std,text_desc:prop_adjacent_dependency_relation_mean,text_desc:prop_adjacent_dependency_relation_std,text_desc:entropy,text_desc:perplexity,text_desc:per_word_perplexity,word_count,error_count_overall,error_count_typos,error_count_grammar,error_count_punctuation,error_count_casing
1,"A growing number of companies are migrating to cloud computing platforms, and new research suggests that fear of being left behind is a major driver. According to a recent industry survey, 81% of business leaders say their organization’s cloud investments are influenced by concerns about “missing out” on innovation, competitive advantage, or industry momentum. While cost savings, scalability, and flexibility remain commonly cited benefits of cloud adoption, the study indicates that competitive pressure now plays an equally powerful role. Executives report feeling compelled to modernize IT systems as rivals adopt artificial intelligence tools, data analytics platforms, and remote collaboration technologies built on cloud infrastructure. Analysts say this “fear of missing out,” or FOMO, reflects a broader shift in corporate strategy. Rather than waiting for clear returns on investment, companies are increasingly making proactive technology bets to avoid falling behind faster-moving competitors. In some sectors, particularly finance, retail, and healthcare, cloud adoption is viewed as essential for digital transformation. However, experts caution that rushed migrations can create new risks, including cybersecurity vulnerabilities and spiraling costs. They advise firms to pair cloud enthusiasm with clear planning and governance. Ultimately, the cloud has become less of a technical upgrade and more of a strategic necessity—driven as much by perception and pressure as by measurable gains.",0,0.7452830188679245,10.851484551946433,7.673158312622387,0.9451159326910968,0.9663666956157285,97.59820176087938,0.010246090419268702,56.95977216091135,80.52903225806452,0.06390496400214911,0.005722972368774032,0.845,0.8853982300884955,233.04296296296292,0.9066469174991019,183.52972615130443,5.8604651162790695,5.0,3.1221742226676117,21.5,23.5,5.572252686302013,1.7906976744186047,1.0,1.0288430968333162,215,158,0.7348837209302326,1296,10,33.51947674418608,13.925232558139538,15.381575749822971,17.15813953488372,16.922790697674422,17.282790697674418,61.5,8.6,0.8835815787315369,0.8769416660070419,0.09561752988047809,0.10358565737051793,0.05179282868525897,0.035856573705179286,0.0398406374501992,0.043824701195219126,0.0,0.2908366533864542,0.00398406374501992,0.01593625498007968,0.00796812749003984,0.01593625498007968,0.1394422310756972,0.0199203187250996,0.0,0.13545816733067728,0.0,True,79.0,0.852589641434263,5.163346613545817,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013271400132714002,0.0,0.0,0.00398406374501992,2.728212496012859,0.5227577936329403,0.47459392507123904,0.044244451057862774,6.492479746877155,660.1583608209711,2.63011299131861,212,0,0,0,0,0
2,"At dawn, the marble corridors of the Beijing Dance Academy echo with the soft thud of pointe shoes and the clipped commands of instructors. Founded in 1954, the prestigious institution has become a crucible for China’s most accomplished ballet and classical dancers, blending Russian-inspired technique with traditional Chinese aesthetics. Inside, students as young as eleven train for hours each day, balancing academic studies with grueling rehearsals. Faculty members, many of them former principal dancers, emphasize discipline, precision, and emotional expression. “Technique is only the beginning,” says Li Xinyue, a senior instructor. “We teach our students to tell stories that resonate beyond borders.” The academy’s studios are lined with mirrors and barres, but also with calligraphy scrolls and framed production stills from revolutionary-era ballets. Recent graduates have joined leading companies in Shanghai, London, and New York, reflecting the school’s growing international reach. Yet competition remains fierce. Each year, thousands audition for a handful of places, driven by dreams of center stage. As China invests heavily in cultural diplomacy, the Beijing Dance Academy stands as both training ground and symbol of artistic ambition. Administrators say new scholarships aim to widen access for rural and lower-income applicants nationwide next year amid sweeping reforms.",0,0.7761194029850746,11.003391607394132,7.780572821639536,0.9522092534365902,0.9706470190992685,110.9692835834346,0.009011502712353087,60.889581941041065,83.62886597938144,0.0682189574968509,0.006119402985074627,0.845,0.8700980392156863,251.38400000000004,0.9063435617532387,184.8242335369631,5.62621359223301,6.0,2.7784000832024756,17.166666666666668,18.0,6.242773600109348,1.6262135922330097,1.0,0.8819067124838029,206,157,0.7621359223300971,1196,12,51.83316343042074,10.294320388349515,13.023866798666859,13.85695792880259,13.652799352750812,15.557864077669908,54.5453074433657,6.416666666666667,0.7938837029717185,0.7896041572093964,0.1111111111111111,0.10699588477366255,0.02880658436213992,0.01646090534979424,0.0411522633744856,0.06172839506172839,0.0,0.2674897119341564,0.00823045267489712,0.0205761316872428,0.01646090534979424,0.06172839506172839,0.1522633744855967,0.00411522633744856,0.0,0.102880658436214,0.0,True,74.0,0.8436213991769548,4.921810699588478,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.00411522633744856,2.834624662397878,0.6497395039607642,0.45382193590237807,0.05196228518451984,6.7720046622970385,873.060332021984,3.5928408725184524,201,0,0,0,0,0
3,"Jimmy Wales, cofounder of Wikipedia, says the online encyclopedia he helped launch 25 years ago needs a radical overhaul — and he believes blockchain technology could provide it. Speaking at a technology conference this week, Wales argued that Wikipedia’s volunteer-driven model has struggled with declining editor participation, opaque governance disputes and growing mistrust over content moderation. Under his proposal, articles and edits would be recorded on a public blockchain, creating a transparent, tamper-resistant history of every contribution. Contributors could earn digital tokens for verified edits, potentially providing financial incentives to attract subject-matter experts. Smart contracts might also be used to manage disputes and automate editorial decisions according to community-approved rules. Wales contends that decentralization would reduce the power of small administrator groups and make it harder for coordinated misinformation campaigns to manipulate entries. Critics, however, question whether blockchain systems can scale to handle Wikipedia’s vast traffic and warn that token incentives could encourage low-quality edits. The Wikimedia Foundation said it is reviewing emerging technologies but remains committed to its nonprofit mission and community governance. Whether blockchain can truly replace Wikipedia’s current infrastructure remains uncertain, yet the debate underscores mounting pressure to reinvent one of the internet’s most trusted resources globally.",0,0.7575757575757576,10.660035817780521,7.53778361444409,0.9475004316183676,0.9676204197538136,100.72972395225828,0.009927556244212071,50.50505050505051,91.46341463414635,0.05860327153276884,0.005076142131979695,0.85,0.8360606060606061,228.69,0.913954475594968,204.45370105561076,6.1298076923076925,6.0,3.05675103436552,23.11111111111111,23.0,4.331908597692872,1.8076923076923077,2.0,1.0103019643510536,208,155,0.7451923076923077,1301,9,30.446452991453015,14.754102564102563,15.760457277294734,17.705982905982903,18.996949786324784,18.962500000000002,69.26495726495726,10.666666666666666,0.8806089460849762,0.870662876537868,0.09829059829059829,0.05555555555555555,0.029914529914529916,0.05128205128205128,0.038461538461538464,0.04700854700854701,0.0,0.2564102564102564,0.008547008547008548,0.038461538461538464,0.029914529914529916,0.042735042735042736,0.1111111111111111,0.021367521367521368,0.0,0.17094017094017094,0.0,True,72.0,0.8846153846153846,5.55982905982906,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,2.9609731746143297,0.3147970778269916,0.42404233696664645,0.04464267074798698,5.5149009920704355,248.36538588749275,1.0613905379807382,198,0,0,0,0,0
4,"Uber Technologies is facing a significant leadership shake-up following the release of an internal investigation into workplace misconduct and compliance failures, company officials confirmed Tuesday. The months-long probe, launched after a series of employee complaints and regulatory inquiries, uncovered lapses in oversight, inconsistent enforcement of company policies, and failures in reporting procedures. As a result, three senior executives, including the head of regional operations, have stepped down, while two others have been placed on administrative leave pending further review. The company’s board said it has appointed an interim compliance chief and will form a new ethics committee to strengthen accountability measures. Chief Executive Dara Khosrowshahi said in a statement that the findings were “deeply concerning” and pledged to implement sweeping reforms. “We are committed to rebuilding trust with our employees, drivers, riders, and regulators,” he said. “This moment demands transparency and decisive action.” The investigation also prompted renewed scrutiny from transportation regulators in several major cities, where Uber’s operating licenses are subject to periodic review. Industry analysts say the shake-up could temporarily disrupt operations but may ultimately position the company for more stable growth if reforms are effectively implemented. Uber shares closed down 3 percent following the announcement.",0,0.7587939698492462,10.704106195625872,7.568946077467991,0.9478539405816413,0.967862767139606,101.50920095912211,0.009851323727813612,55.04911492134037,85.71804511278195,0.06251016368546278,0.0055327140754276435,0.82,0.8301,231.00583333333333,0.9109795240208864,195.7781072180779,5.970443349753695,6.0,3.1449566006846204,20.3,23.0,7.114070564732964,1.812807881773399,1.0,1.0664768651861543,203,152,0.7487684729064039,1245,10,32.86695320197046,13.718133004926113,15.903189008614273,17.97221674876847,16.840788177339903,17.848078817733988,63.15714285714286,8.7,0.8654664158821106,0.8533645197749138,0.08898305084745763,0.07203389830508475,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.07203389830508475,0.0,0.2923728813559322,0.012711864406779662,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.13983050847457626,0.01694915254237288,0.0,0.11864406779661017,0.0,True,78.0,0.8559322033898306,5.27542372881356,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,2.9184621467860845,0.5089686640716,0.46001333865895333,0.058841637300139644,6.025072244972048,413.67152663138774,1.7528454518279142,199,0,0,0,0,0
5,"Americans erupt every February for the Super Bowl, transforming a football game into an unofficial national holiday. The championship matchup of the National Football League routinely draws more than 100 million viewers, making it the most-watched television event in the United States. But the frenzy extends far beyond the final score. For fans, the Super Bowl represents the climax of a months-long journey, filled with loyalty, rivalry, and regional pride. Families and friends gather for watch parties stocked with chicken wings, pizza, and nachos, turning living rooms into stadium-like celebrations. Even casual viewers tune in for the halftime show, which features global music icons and elaborate, headline-grabbing performances. Advertisers fuel the spectacle. Companies spend millions of dollars for 30-second commercials, often debuting cinematic ads designed to spark conversation long after the game ends. Social media amplifies every touchdown, controversial call, and clever commercial in real time. The Super Bowl also serves as a cultural mirror, reflecting trends in entertainment, technology, and politics. From celebrity appearances to surprise announcements, it offers something for nearly everyone. In a country often divided, the event provides a rare shared experience—one night when millions cheer, argue, and celebrate together. For many, it is tradition itself.",0,0.7386934673366834,10.420553713622537,7.368444194621157,0.9427820146440329,0.9646431396900069,92.5112059048137,0.010809501294674683,88.8866442766597,53.48762376237624,0.08432715438914856,0.00893355667225014,0.76,0.8359000000000001,213.23615384615385,0.8810892805301599,139.36657395298334,5.577669902912621,5.0,2.7219507581642373,15.846153846153847,17.0,6.383225057146076,1.6213592233009708,1.0,0.8603059385194456,206,153,0.7427184466019418,1190,13,53.58416355489172,9.722038834951455,12.635684438814376,13.32875280059746,12.763902165795365,15.128737864077664,49.82673637042569,5.384615384615385,0.8552510440349579,0.8186981027776544,0.07692307692307693,0.0931174089068826,0.04048582995951417,0.004048582995951417,0.032388663967611336,0.08906882591093117,0.0,0.2591093117408907,0.016194331983805668,0.008097165991902834,0.02834008097165992,0.05263157894736842,0.1659919028340081,0.008097165991902834,0.0,0.12550607287449392,0.0,True,76.0,0.8259109311740891,4.817813765182186,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017998560115190784,0.0,0.0,0.0,2.6286466719036263,0.6416280356849211,0.42646270026885397,0.06879356974623954,7.764365129659188,2355.1627907826633,9.535072027460176,199,0,0,0,0,0
6,"From roller-skating churchgoers in Venezuela to shoe-throwing children in Germany, Europe bursts into life each December with traditions that are as quirky as they are cherished. In Catalonia, Spain, families place a smiling log called Caga Tió in their homes and “feed” it for weeks before Christmas. On Christmas Eve, children beat the log with sticks while singing, urging it to deliver sweets and small gifts. In Austria and parts of southern Germany, the festive season has a darker edge. Men dressed as horned Krampus creatures parade through town squares, rattling chains and playfully chasing spectators, reviving a centuries-old Alpine legend meant to frighten naughty children. Over in Ukraine, Christmas trees shimmer with artificial spider webs, inspired by a folktale in which spiders spun silver threads to help a poor family celebrate. Meanwhile in Norway, households hide their brooms on Christmas Eve to thwart mischievous spirits said to roam the night sky. These unusual customs highlight Europe’s rich patchwork of folklore, faith and fun—reminding visitors that the magic of Christmas often lies in the delightfully unexpected. From Italy’s gift-bearing witch La Befana to the Czech custom of shoe-tossing to predict marriage, the continent embraces joyful eccentricity every festive winter season.",0,0.735,10.394469683442248,7.35,0.9418900834983591,0.9640955500431773,91.1775078251648,0.01096761716625909,70.5,64.5044776119403,0.07243810400310478,0.007085427135678392,0.8,0.8283168316831683,211.32075471698113,0.8901692700274889,152.77656920066343,5.240384615384615,5.0,2.522953063329422,23.11111111111111,26.0,4.532461789860253,1.4375,1.0,0.6835551156665028,208,152,0.7307692307692307,1120,9,61.76472222222223,10.385833333333334,10.980518767755715,12.513675213675214,14.807767094017095,13.732692307692307,55.32264957264958,7.444444444444445,0.8587613180279732,0.864094580922808,0.07142857142857142,0.11764705882352941,0.025210084033613446,0.008403361344537815,0.02100840336134454,0.06302521008403361,0.0,0.24369747899159663,0.0,0.03361344537815126,0.029411764705882353,0.10504201680672269,0.12605042016806722,0.012605042016806723,0.0,0.14285714285714285,0.0,True,73.0,0.8739495798319328,4.705882352941177,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012605042016806723,2.9827877906298372,0.29159528573390525,0.4480756698498634,0.053031919137427545,6.12371909086003,456.5595272924377,1.9183173415648642,200,0,0,0,0,0
7,"On May 30th, several landmark moments shaped the legacy of WMMO, marking the date as one of reflection and celebration for listeners and staff alike. In 1985, WMMO officially flipped its format to classic rock, a bold move that distinguished the station in a competitive market and set the tone for decades of legendary programming. The debut song that morning—The Rolling Stones’ “Start Me Up”—signaled a new era that resonated with Central Florida audiences. Years later, on May 30, 1999, WMMO hosted its first annual Memorial Weekend Rock Marathon, a 48-hour, commercial-light tribute to rock’s greatest icons. The event quickly became a fan-favorite tradition, drawing record-breaking listenership and cementing the station’s reputation for immersive, fan-driven programming. May 30th also marks a milestone from 2012, when WMMO launched its revamped mobile app, expanding its reach beyond terrestrial radio and connecting with a new generation of digital listeners. The app’s debut included exclusive backstage interviews and live concert streams, underscoring the station’s commitment to innovation. From format-defining decisions to community-building broadcasts, May 30th stands as a testament to WMMO’s enduring dedication to classic rock and the loyal audience that continues to turn it up loud.",0,0.6825396825396826,9.383369280147672,6.635044048369952,0.9271360083573921,0.9543326688206782,71.93878480841397,0.013900707423167926,92.38263206517175,42.66923076923077,0.08232454380697375,0.009287402904424182,0.76,0.797,124.9993811881188,0.8608639286400286,111.50359883299409,5.242718446601942,4.0,2.857339448954731,25.75,25.5,4.683748498798798,1.5631067961165048,1.0,0.8263841335404529,206,135,0.6553398058252428,1113,8,48.45991504854371,12.89716019417476,14.731742533061166,16.707766990291265,16.138203883495144,13.877669902912626,59.730582524271846,8.75,0.8801170417240688,0.8685498932997385,0.0794979079497908,0.10460251046025104,0.029288702928870293,0.0,0.029288702928870293,0.08368200836820083,0.0,0.26359832635983266,0.02510460251046025,0.02510460251046025,0.03765690376569038,0.07531380753138076,0.13807531380753138,0.0041841004184100415,0.0,0.10460251046025104,0.0,True,78.0,0.8410041841004184,4.656903765690377,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01839080459770115,0.0,0.0,0.02510460251046025,3.068775017526285,0.3584704275850598,0.43314263931023567,0.04092181893191273,6.317216501010453,554.0287058454753,2.3181117399392273,189,0,0,0,0,0
8,"Egypt's parliament has approved a long-debated agreement transferring sovereignty over two Red Sea islands, Tiran and Sanafir, to Saudi Arabia, marking a significant step in a controversial maritime deal. Lawmakers voted in favor of the accord during a plenary session, despite vocal opposition from some MPs and public protests in recent years. The government has argued that the islands historically belong to Saudi Arabia and that the agreement corrects administrative arrangements dating back to the 1950s. Officials said the transfer would strengthen bilateral ties and unlock economic cooperation, including planned development projects in the Red Sea. Critics, however, contend that the islands are Egyptian territory and have challenged the move in court. Previous judicial rulings had produced conflicting decisions, fueling a heated national debate over sovereignty and transparency. Security officials emphasized that navigation through the strategic Strait of Tiran will remain open in accordance with international agreements. Saudi authorities welcomed the vote, describing it as a reaffirmation of historic rights and regional partnership. The agreement now awaits final ratification procedures, after which administrative control is expected to be formally transferred. Analysts say the decision could reshape regional alliances and test domestic political stability in the months ahead. Across the region.",0,0.7164179104477612,10.156976868363815,7.1820672199749565,0.9371162672588765,0.9610701046496425,84.33508439919517,0.011857461305979831,100.9875993168486,44.593548387096774,0.09016340646487281,0.010149253731343283,0.79,0.8041176470588235,167.0472972972973,0.868486300973701,120.0478691201564,5.965174129353234,6.0,3.1089312995626583,18.272727272727273,17.0,6.383087156924349,1.8109452736318408,1.0,1.0192571687800396,201,145,0.7213930348258707,1223,11,35.082211668928124,12.905517865219363,14.811377253095038,16.463319764812304,15.802333785617371,17.655323383084575,60.06377204884667,7.636363636363637,0.8489465534687042,0.8501992887920804,0.11160714285714286,0.09821428571428571,0.03125,0.044642857142857144,0.03571428571428571,0.09821428571428571,0.0,0.24553571428571427,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.05803571428571429,0.09821428571428571,0.022321428571428572,0.0,0.12946428571428573,0.0,True,76.0,0.9017857142857143,5.459821428571429,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016877637130801686,0.0,0.0,0.004464285714285714,2.7802991638876806,0.6374578423789314,0.4282441641293316,0.08079770435207932,6.568496529958438,712.2981187997566,3.179902316070342,201,0,0,0,0,0
9,"Skywatchers around the world are preparing for one of nature’s most breathtaking events: a solar eclipse. But how much do you really know about this celestial phenomenon? A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking some or all of the Sun’s light. There are three main types: total, partial, and annular. During a total solar eclipse, the Moon completely covers the Sun, turning day into twilight for a few dramatic minutes. In a partial eclipse, only part of the Sun is obscured. An annular eclipse happens when the Moon is too far from Earth to fully cover the Sun, leaving a bright “ring of fire” visible in the sky. Solar eclipses do not happen every month because the Moon’s orbit is slightly tilted relative to Earth’s orbit around the Sun. When conditions align perfectly, the spectacle can be seen from specific regions of the world. Experts warn that looking directly at a solar eclipse without proper eye protection can cause serious eye damage. Special eclipse glasses or indirect viewing methods are essential. Beyond their beauty, solar eclipses help scientists study the Sun’s outer atmosphere, known as the corona, offering valuable insights into solar activity and space weather.",0,0.6585365853658537,9.428808992889305,6.66717477738473,0.9215227470290044,0.951120864485119,67.82869911496188,0.014743021951594774,119.92861392028553,31.750871080139373,0.09728053641458272,0.01205164992826399,0.7450000000000001,0.7192452830188679,122.9019764957265,0.8480103859689342,99.77304596567967,4.833333333333333,5.0,2.3494342446302405,17.5,17.5,6.304760106459246,1.4476190476190476,1.0,0.6966717117286323,210,133,0.6333333333333333,1042,12,66.6039285714286,8.316904761904762,10.31748142421505,10.61904761904762,10.084999999999997,10.928571428571427,44.64285714285714,4.75,0.8495047634298151,0.8604947805404664,0.12236286919831224,0.0970464135021097,0.046413502109704644,0.04219409282700422,0.02531645569620253,0.11392405063291139,0.0,0.18565400843881857,0.008438818565400843,0.029535864978902954,0.02109704641350211,0.05907172995780591,0.11392405063291139,0.02531645569620253,0.0,0.10970464135021098,0.0,True,95.0,0.8860759493670886,4.39662447257384,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03932584269662921,0.019261637239165328,0.0,0.004219409282700422,2.847717679484154,0.5679217136297174,0.4339760654608689,0.063872316107542,6.74825467839692,852.5694553556583,3.5973394740745075,205,0,0,0,0,0
10,"Firefighting is widely regarded as one of the most physically demanding professions, and departments across the country require candidates to pass rigorous physical ability tests before joining the ranks. These exams are designed to simulate real-life emergency scenarios and ensure recruits can handle the intense demands of the job. One of the most common assessments is the Candidate Physical Ability Test (CPAT), which includes eight timed events. Applicants must climb stairs while carrying weighted equipment, drag charged hoses across a set distance, and raise and extend ladders. They also perform forcible entry simulations using weighted sleds, navigate dark, confined spaces, and rescue a life-sized mannequin weighing up to 165 pounds. Strength, endurance, agility, and cardiovascular fitness are all measured during the process. Candidates often wear a weighted vest to replicate the 50 to 75 pounds of protective gear firefighters typically carry. The test is completed in under 10 minutes in many departments, requiring both speed and stamina. Fire officials say the standards are essential for public and firefighter safety. Proper preparation, including strength training and aerobic conditioning, is strongly recommended for anyone considering a career in the fire service.",0,0.7297297297297297,9.925397398266405,7.018315806285491,0.9396437604643229,0.9623286028189696,86.49239689614069,0.01156170988301771,88.23959094229365,51.77556818181818,0.08259513964046168,0.008871915393654523,0.81,0.8212790697674418,191.66,0.8780481302250038,133.83749550155963,5.633507853403142,5.0,2.836140683690958,19.1,19.5,4.887739763939975,1.6230366492146597,1.0,0.8648415971642617,191,140,0.7329842931937173,1103,10,50.13959947643983,11.010832460732988,13.662883650711645,14.760418848167541,14.6538219895288,15.775287958115182,56.796335078534035,7.2,0.844589094320933,0.85298752784729,0.0963302752293578,0.0779816513761468,0.03669724770642202,0.04128440366972477,0.045871559633027525,0.0779816513761468,0.0,0.26605504587155965,0.03211009174311927,0.01834862385321101,0.01834862385321101,0.022935779816513763,0.12385321100917432,0.0045871559633027525,0.0,0.13761467889908258,0.0,True,72.0,0.8577981651376146,5.059633027522936,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015491866769945779,0.0,0.0,0.0,2.8331369443859162,0.3824938806437435,0.43791660212641254,0.06031401282196839,6.356715026590297,576.3499490179693,2.643807105587015,185,0,0,0,0,0
